member_status,lidvid,spectrum_id,lid,raw_xml,raw_tab,metadata_text
P,urn:nasa:pds:relab:data_reflectance:c1cw08::1.1,c1cw08,urn:nasa:pds:relab:data_reflectance:c1cw08,data/raw/relab/metadata_cache/bdr3/c1cw08.xml,data/raw/relab/metadata_cache/bdr3/c1cw08.tab,"c1cw08.xml | urn:nasa:pds:relab:data_reflectance:c1cw08 | 1.1 | relab spectrum id c1cw08 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1999-09-08z | 1999-09-08z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | cw-cmw-008 | sample | cw-cmw-008 | sulfur soil | volcanic sediment | kilauea, hawaii | jet propulsion laboratory | catherine m. weitz | terrestrial sample | natural | solid | inorganic | unconsolidated mixture | particulate | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1999-09-08 | relab | relab | catherine m. weitz | c1cw08.tab | 1999-09-08 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 3 | 0 | 31 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8 | standard_deviation | 3 | 20 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1cy02::1.1,c1cy02,urn:nasa:pds:relab:data_reflectance:c1cy02,data/raw/relab/metadata_cache/bdr2/c1cy02.xml,data/raw/relab/metadata_cache/bdr2/c1cy02.tab,"c1cy02.xml | urn:nasa:pds:relab:data_reflectance:c1cy02 | 1.1 | relab spectrum id c1cy02 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1990-07-10z | 1990-07-10z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | cy-plh-002 | sample | cy-plh-002 | alunite | ron lyon, stanford, a-20  igcp3, al706 | 0 | 500 | sulfur, nevada | spectral research | phoebe l. hauff | terrestrial sample | natural | solid | inorganic | mineral | particulate | sulfate | alunite | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1990-07-10 | relab | relab | phoebe l. hauff | c1cy02.tab | 1990-07-10 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1ja18::1.1,c1ja18,urn:nasa:pds:relab:data_reflectance:c1ja18,data/raw/relab/metadata_cache/bdr2/c1ja18.xml,data/raw/relab/metadata_cache/bdr2/c1ja18.tab,"c1ja18.xml | urn:nasa:pds:relab:data_reflectance:c1ja18 | 1.1 | relab spectrum id c1ja18 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1989-06-23z | 1989-06-23z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | ja-cmp-018 | sample | ja-cmp-018 | wollastonite- ja #117215 | potash sulphur springs, arkansas | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | inorganic | mineral | particulate | inosilicate | wollastonite | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1989-06-23 | relab | relab | carle m. pieters | c1ja18.tab | 1989-06-23 | reflectance spectrum | 8 | 461 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1jb116::1.1,c1jb116,urn:nasa:pds:relab:data_reflectance:c1jb116,data/raw/relab/metadata_cache/bdr3/c1jb116.xml,data/raw/relab/metadata_cache/bdr3/c1jb116.tab,"c1jb116.xml | urn:nasa:pds:relab:data_reflectance:c1jb116 | 1.1 | relab spectrum id c1jb116 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2014-10-07z | 2014-10-07z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | jb-cmp-116 | sample | jb-cmp-116 | montmorillonite cation-exchanged- 100% fe2(so4)3 ph3.0 swy-1 | fe sulfur exchanged swy-1 | 0 | 45 | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | inorganic | mineral | particulate | phyllosilicate | montmorillonite cation-exchanged | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2550 | nm | bidirectional | 30 | 0 | 30 | ambient | 2014-10-07 | relab | relab | carle m. pieters | urn:nasa:pds:relab:data_ancillary_image:jb-cmp-116_on9mmdish | data_to_ancillary_data | image | c1jb116.tab | 2014-10-07 | reflectance spectrum | 8 | 451 | carriage-return line-feed | 3 | 0 | 31 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8 | standard_deviation | 3 | 20 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1jb117::1.1,c1jb117,urn:nasa:pds:relab:data_reflectance:c1jb117,data/raw/relab/metadata_cache/bdr2/c1jb117.xml,data/raw/relab/metadata_cache/bdr2/c1jb117.tab,"c1jb117.xml | urn:nasa:pds:relab:data_reflectance:c1jb117 | 1.1 | relab spectrum id c1jb117 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1993-08-25z | 1993-08-25z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | jb-cmp-117 | sample | jb-cmp-117 | montmorillonite cation-exchanged- 100% fe2(so4)3 ph3.5 swy-1 | fe sulfur exchanged swy-1 | 0 | 45 | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | inorganic | mineral | particulate | phyllosilicate | montmorillonite cation-exchanged | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 3600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1993-08-25 | relab | relab | carle m. pieters | c1jb117.tab | 1993-08-25 | reflectance spectrum | 8 | 661 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1jb118::1.1,c1jb118,urn:nasa:pds:relab:data_reflectance:c1jb118,data/raw/relab/metadata_cache/bdr2/c1jb118.xml,data/raw/relab/metadata_cache/bdr2/c1jb118.tab,"c1jb118.xml | urn:nasa:pds:relab:data_reflectance:c1jb118 | 1.1 | relab spectrum id c1jb118 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1993-08-25z | 1993-08-25z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | jb-cmp-118 | sample | jb-cmp-118 | montmorillonite cation-exchanged- 300% fe2(so4)3 ph3.0 swy-1 | fe sulfur exchanged swy-1 | 0 | 45 | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | inorganic | mineral | particulate | phyllosilicate | montmorillonite cation-exchanged | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 3600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1993-08-25 | relab | relab | carle m. pieters | c1jb118.tab | 1993-08-25 | reflectance spectrum | 8 | 661 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1jb119::1.1,c1jb119,urn:nasa:pds:relab:data_reflectance:c1jb119,data/raw/relab/metadata_cache/bdr2/c1jb119.xml,data/raw/relab/metadata_cache/bdr2/c1jb119.tab,"c1jb119.xml | urn:nasa:pds:relab:data_reflectance:c1jb119 | 1.1 | relab spectrum id c1jb119 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1993-08-26z | 1993-08-26z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | jb-cmp-119 | sample | jb-cmp-119 | montmorillonite cation-exchanged- 300% fe2(so4)3 ph3.5 swy-1 | fe sulfur exchanged swy-1 | 0 | 45 | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | inorganic | mineral | particulate | phyllosilicate | montmorillonite cation-exchanged | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 3600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1993-08-26 | relab | relab | carle m. pieters | c1jb119.tab | 1993-08-26 | reflectance spectrum | 8 | 661 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1jb120::1.1,c1jb120,urn:nasa:pds:relab:data_reflectance:c1jb120,data/raw/relab/metadata_cache/bdr2/c1jb120.xml,data/raw/relab/metadata_cache/bdr2/c1jb120.tab,"c1jb120.xml | urn:nasa:pds:relab:data_reflectance:c1jb120 | 1.1 | relab spectrum id c1jb120 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1993-08-26z | 1993-08-26z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | jb-cmp-120 | sample | jb-cmp-120 | montmorillonite cation-exchanged- 600% fe2(so4)3 ph3.0 swy-1 | fe sulfur exchanged swy-1 | 0 | 45 | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | inorganic | mineral | particulate | phyllosilicate | montmorillonite cation-exchanged | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 3600 | nm | bidirectional | 30 | 0 | 30 | ambient | 1993-08-26 | relab | relab | carle m. pieters | c1jb120.tab | 1993-08-26 | reflectance spectrum | 8 | 661 | carriage-return line-feed | 2 | 0 | 21 | wavelength | 1 | 1 | ascii_real | 9 | nm | reflectance | 2 | 10 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1jb121::1.1,c1jb121,urn:nasa:pds:relab:data_reflectance:c1jb121,data/raw/relab/metadata_cache/bdr3/c1jb121.xml,data/raw/relab/metadata_cache/bdr3/c1jb121.tab,"c1jb121.xml | urn:nasa:pds:relab:data_reflectance:c1jb121 | 1.1 | relab spectrum id c1jb121 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 2014-10-07z | 2014-10-07z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | jb-cmp-121 | sample | jb-cmp-121 | montmorillonite cation-exchanged- 600% fe2(so4)3 ph3.5 swy-1 | fe sulfur exchanged swy-1 | 0 | 45 | brown university, dept. earth, environmental and planetary sciences | carle m. pieters | terrestrial sample | natural | solid | inorganic | mineral | particulate | phyllosilicate | montmorillonite cation-exchanged | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 300 | 2550 | nm | bidirectional | 30 | 0 | 30 | ambient | 2014-10-07 | relab | relab | carle m. pieters | urn:nasa:pds:relab:data_ancillary_image:jb-cmp-121_on9mmdish | data_to_ancillary_data | image | c1jb121.tab | 2014-10-07 | reflectance spectrum | 8 | 451 | carriage-return line-feed | 3 | 0 | 31 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8 | standard_deviation | 3 | 20 | ascii_real | 10"
P,urn:nasa:pds:relab:data_reflectance:c1jb373::1.1,c1jb373,urn:nasa:pds:relab:data_reflectance:c1jb373,data/raw/relab/metadata_cache/bdr3/c1jb373.xml,data/raw/relab/metadata_cache/bdr3/c1jb373.tab,"c1jb373.xml | urn:nasa:pds:relab:data_reflectance:c1jb373 | 1.1 | relab spectrum id c1jb373 | 1.22.0.0 | product_observational | 2024-09-11 | 1.1 | xml label revised. minor revisions including information model update. | 2020-09-28 | 1.0 | post-peer-review version | 2019-01-03 | 0.6 | pre-peer-review version | 1999-11-24z | 1999-11-24z | science | calibrated | relab spectral library | other investigation | urn:nasa:pds:context:investigation:other_investigation.relab_speclib | data_to_investigation | relab | brown university reflectance spectroscopy laboratory | nasa/keck reflectance experiment laboratory (relab) | host | urn:nasa:pds:context:facility:laboratory.relab | is_facility | relab bidirectional spectrometer | instrument | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | jb-jlb-373 | sample | jb-jlb-373 | sulfur-phases (soil, hydrothermal)- s-1 | yellow hydrothermal soil, dehydrated in dessicator, lightly ground, then sieved. | 0 | 125 | sulfur-vent site off of kilauea crater, hi | seti institute, nasa ames | janice l. bishop | terrestrial sample | natural | solid | inorganic | unconsolidated mixture | particulate | particulate ground dry-sieved | 1 | 1 | relab bidirectional spectrometer | urn:nasa:pds:context:instrument:relab.bd-vnir | is_instrument | reflectance | wavelength | 400 | 1400 | nm | bidirectional | 30 | 0 | 30 | ambient | 1999-11-24 | relab | relab | janice l. bishop | c1jb373.tab | 1999-11-24 | reflectance spectrum | 8 | 201 | carriage-return line-feed | 3 | 0 | 31 | wavelength | 1 | 1 | ascii_real | 10 | nm | reflectance | 2 | 12 | ascii_real | 8 | standard_deviation | 3 | 20 | ascii_real | 10"
