screen_set,group,volume,file,obs_id,product,n_valid_pixels,missing_frac,ood_ratio_0p7_2p0,wave_min_um,wave_max_um
top8_each_group,leading_chaos,go_1116,15e015ti.qub,15e015,ti,2640,0.0075187969924812,7.462375905940137,0.6887,5.2592
top8_each_group,leading_chaos,go_1117,17e009ti.qub,17e009,ti,2340,0.0,8.643383792603883,0.6943,5.274
leading_plains_all_coverage,leading_plains,go_1118,25e006ci.qub,25e006,ci,1078,0.0626086956521738,7.4439552853361715,0.587,4.6967
leading_plains_all_coverage,leading_plains,go_1118,25e001ci.qub,25e001,ci,944,0.0464646464646464,10.781205512151988,0.587,4.6967
leading_plains_all_coverage,leading_plains,go_1118,25e002ci.qub,25e002,ci,1211,0.6765491452991452,11.360757057170506,0.587,4.6967
leading_plains_all_coverage,leading_plains,go_1118,25e004ci.qub,25e004,ci,3262,0.3707561728395061,15.861092783157932,0.587,4.6967
leading_plains_all_coverage,leading_plains,go_1118,25e006cr.qub,25e006,cr,1078,0.0626086956521738,23.48047507112697,0.587,4.6967
top8_each_group,trailing_chaos,go_1115,12e003ci.qub,12e003,ci,2993,0.1835788325150027,20.68037117721435,0.693,2.9869
top8_each_group,trailing_chaos,go_1115,12e001ci.qub,12e001,ci,1768,0.229965156794425,22.277994449273173,0.693,5.2494
top8_each_group,trailing_plains,go_1117,17e008ci.qub,17e008,ci,4930,0.489225031081641,7.153942458080469,0.6943,5.274
top8_each_group,trailing_plains,go_1115,14e001ci.qub,14e001,ci,616,0.3515789473684211,21.851657000762486,0.6927,2.9927
top8_each_group,trailing_plains,go_1117,17e008ti.qub,17e008,ti,2660,0.0074626865671642,21.929548338381903,0.6943,5.274
