group_type,group,component,mean,std,count
encounter,E11,pca_1,-6.7683297182792295,2.6465267819161586,1200
encounter,E15,pca_1,11.369722782365137,9.16411516808969,865
encounter,E6,pca_1,-10.630625474244296,0.44110229660367334,111
encounter,G2,pca_1,-10.053115418295327,0.7219662079981034,53
encounter,E11,pca_2,-0.049018174016083126,4.116946387057209,1200
encounter,E15,pca_2,-0.17137292270740506,9.20188692679873,865
encounter,E6,pca_2,0.47275522718073737,2.08218472792994,111
encounter,G2,pca_2,2.916670881964976,2.3826837209136986,53
encounter,E11,pca_3,0.6068280031569361,1.3191581229105975,1200
encounter,E15,pca_3,-0.7183214243315881,2.06925137945449,865
encounter,E6,pca_3,-0.8106553949241432,0.5536860586789709,111
encounter,G2,pca_3,-0.3181664699041449,0.8520311786883261,53
encounter,E11,pca_4,-0.7410736222033443,0.614263053147596,1200
encounter,E15,pca_4,0.6917291648054743,2.0205598060544827,865
encounter,E6,pca_4,2.664752173564639,0.31313061127893527,111
encounter,G2,pca_4,-0.09141268261126456,0.44283941692860074,53
encounter,E11,pca_5,0.15049350071258624,0.7534382383449859,1200
encounter,E15,pca_5,-0.1600361835990726,1.3877484892922294,865
encounter,E6,pca_5,-1.3043246916525089,0.5086301930906683,111
encounter,G2,pca_5,1.9362101647457115,0.5004201673624078,53
encounter,E11,nmf_1,0.06425692302960899,0.05181768130768773,1200
encounter,E15,nmf_1,0.11464029480734347,0.061302434490007454,865
encounter,E6,nmf_1,0.06688323048704843,0.022887990813062642,111
encounter,G2,nmf_1,0.09005058666800561,0.031092775740419402,53
encounter,E11,nmf_2,0.055738524682292505,0.031355500522084544,1200
encounter,E15,nmf_2,0.27390749089549554,0.1265656211363092,865
encounter,E6,nmf_2,1.0266037356377311e-05,0.00010815941500064303,111
encounter,G2,nmf_2,0.0022712945984871974,0.004192463877118875,53
encounter,E11,nmf_3,0.04343316369473729,0.03355965042439476,1200
encounter,E15,nmf_3,0.14753787828602205,0.085919896019492,865
encounter,E6,nmf_3,0.11342570305082039,0.018733374796401196,111
encounter,G2,nmf_3,0.12329834798347022,0.018286402446958897,53
encounter,E11,nmf_4,0.5159105442611729,0.07174400710888475,1200
encounter,E15,nmf_4,0.136375088049879,0.12396636255412594,865
encounter,E6,nmf_4,0.4956889024128958,0.036328882699234594,111
encounter,G2,nmf_4,0.4819317930873543,0.0424281415575527,53
hemisphere,leading,pca_1,8.867633994984352,11.103083243822853,976
hemisphere,trailing,pca_1,-6.907271172469855,2.677067505601789,1253
hemisphere,leading,pca_2,-0.09811654500496264,8.692860687470917,976
hemisphere,trailing,pca_2,0.07642597599748123,4.101721301344983,1253
hemisphere,leading,pca_3,-0.72882252139693,1.9569828994575373,976
hemisphere,trailing,pca_3,0.5677021395717506,1.3158085335967722,1253
hemisphere,leading,pca_4,0.9161201012524695,2.0054197409210306,976
hemisphere,trailing,pca_4,-0.7135939495789387,0.6217735338743274,1253
hemisphere,leading,pca_5,-0.29017555285514984,1.3667110200787378,976
hemisphere,trailing,pca_5,0.2260266078105556,0.8266304815263981,1253
hemisphere,leading,nmf_1,0.10920890736927713,0.06016129187098218,976
hemisphere,trailing,nmf_1,0.06534795588901444,0.05136665078189406,1253
hemisphere,leading,nmf_2,0.2427572942159326,0.14752811851858433,976
hemisphere,trailing,nmf_2,0.053476941925355806,0.0325296178399823,1253
hemisphere,leading,nmf_3,0.1436583173730022,0.08184615401867927,976
hemisphere,trailing,nmf_3,0.046811339885721205,0.03675669856370326,1253
hemisphere,leading,nmf_4,0.17723967144567296,0.16368766423214698,976
hemisphere,trailing,nmf_4,0.5144732946105645,0.07106957092295356,1253
terrain,chaos,pca_1,-10.443991126894934,0.6090876372580868,164
terrain,plains,pca_1,0.8294501427655057,10.924516970007154,2065
terrain,chaos,pca_2,1.2625572375683267,2.4599503210425215,164
terrain,plains,pca_2,-0.10027088956959088,6.730147151189287,2065
terrain,chaos,pca_3,-0.6514973886676803,0.701325883028488,164
terrain,plains,pca_3,0.05174119696924916,1.7974785122750203,2065
terrain,chaos,pca_4,1.7740403602882802,1.3418292407891814,164
terrain,plains,pca_4,-0.1408923094853646,1.5582605673940881,2065
terrain,chaos,pca_5,-0.25707867098723025,1.6017113256615325,164
terrain,plains,pca_5,0.02041690171520857,1.0767624256543744,2065
terrain,chaos,nmf_1,0.0743702419357724,0.02792953371384958,164
terrain,plains,nmf_1,0.08536182210357525,0.06124636778014901,2065
terrain,chaos,nmf_2,0.0007409642918681668,0.0025962034497071947,164
terrain,plains,nmf_2,0.147126493580317,0.13736291994038893,2065
terrain,chaos,nmf_3,0.11661625293759137,0.019103872449032538,164
terrain,plains,nmf_3,0.0870411918407234,0.07989934606178634,2065
terrain,chaos,nmf_4,0.491243007325983,0.03881475266472573,164
terrain,plains,nmf_4,0.3569283797949408,0.21095987171191255,2065
