enc,pc,shift,synth_std,n_sigma,var_explained
E6,1,1.235779942765806,0.46710941858818483,2.6455898630737193,0.6433429815646085
E6,2,3.35970817901419,0.25101729457260336,13.384369330891086,0.1857858389240312
E6,3,-3.303875830202447,0.13794738360259182,-23.950260917572212,0.05610896458289297
E6,4,-1.8080640632935712,0.11137389594023998,-16.23418169952043,0.03657397322313215
E6,5,-4.205062613176706,0.053020225557713914,-79.31053798554805,0.008288738928168081
E6,6,-0.8271441174692615,0.04031247713927196,-20.518315324337852,0.004791641197826366
E6,7,0.591685174615416,0.036896282576782465,16.03644414225368,0.004013936912636877
E6,8,1.7250901190347752,0.03545675324962437,48.65335827116087,0.0037068349484623477
E6,9,-0.756931915054362,0.03450252735665303,-21.938448369535642,0.0035100001631757473
E6,10,-1.1206587120147622,0.03408222974996928,-32.88102686365147,0.0034250058554799153
E15,1,0.21495707180346926,0.46710941858818483,0.4601856936490517,0.6433429815646085
E15,2,0.7435698131215305,0.25101729457260336,2.9622254290670034,0.1857858389240312
E15,3,-2.569050991288515,0.13794738360259182,-18.623412232819057,0.05610896458289297
E15,4,-1.760467547955301,0.11137389594023998,-15.806823790056784,0.03657397322313215
E15,5,-3.279816747899042,0.053020225557713914,-61.85972830815319,0.008288738928168081
E15,6,-1.1727707951443034,0.04031247713927196,-29.09200521375828,0.004791641197826366
E15,7,0.4719156358771821,0.036896282576782465,12.79033016083175,0.004013936912636877
E15,8,1.515906462864553,0.03545675324962437,42.75367381072488,0.0037068349484623477
E15,9,-0.6009461582429689,0.03450252735665303,-17.417453278525482,0.0035100001631757473
E15,10,-0.9198793436834688,0.03408222974996928,-26.989998905729106,0.0034250058554799153
G2,1,1.4127400075268401,0.46710941858818483,3.024430575161068,0.6433429815646085
G2,2,3.3241057073969302,0.25101729457260336,13.242536587144338,0.1857858389240312
G2,3,-3.2312936861505657,0.13794738360259182,-23.424102739317416,0.05610896458289297
G2,4,-1.8408518168726555,0.11137389594023998,-16.528575222365166,0.03657397322313215
G2,5,-4.113507371491397,0.053020225557713914,-77.58373956625574,0.008288738928168081
G2,6,-0.6705082836183525,0.04031247713927196,-16.63277305647184,0.004791641197826366
G2,7,0.6615029610215012,0.036896282576782465,17.92871570806521,0.004013936912636877
G2,8,1.605199016578518,0.03545675324962437,45.272024915317125,0.0037068349484623477
G2,9,-0.947664731608467,0.03450252735665303,-27.46653083656681,0.0035100001631757473
G2,10,-0.8846829869299476,0.03408222974996928,-25.95730952446818,0.0034250058554799153
E11,1,1.014803154438895,0.46710941858818483,2.1725170036260772,0.6433429815646085
E11,2,2.9295006649801945,0.25101729457260336,11.670513260675772,0.1857858389240312
E11,3,-3.2465965346328187,0.13794738360259182,-23.535035241859312,0.05610896458289297
E11,4,-1.674378871218996,0.11137389594023998,-15.033853822464694,0.03657397322313215
E11,5,-4.066388037076462,0.053020225557713914,-76.69503466320407,0.008288738928168081
E11,6,-0.6974513304267889,0.04031247713927196,-17.301128084982864,0.004791641197826366
E11,7,0.6026115437661176,0.036896282576782465,16.332581541127595,0.004013936912636877
E11,8,1.6524299812594372,0.03545675324962437,46.60409737968151,0.0037068349484623477
E11,9,-0.8005101627378733,0.03450252735665303,-23.20149345698038,0.0035100001631757473
E11,10,-0.9427661885666895,0.03408222974996928,-27.661517320177026,0.0034250058554799153
